agent_id,o_zone_id, d_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min,volume,departure_time, travel_time_in_min,arrival_time,node_sequence,org_path_node_sequence,path_time_sequence
1,52405,1007255,52405,1007255,463.99,475.4,1800,0,11,13,52405;7255;1007255;,,463.90;465.19;475.40;
2,52401,1008485,52401,1008485,476.97,488.4,1800,0,11,13,52401;8485;1008485;,,476.90;478.17;488.40;
3,50209,1009151,50209,1009151,535.72,555.2,1800,0,19,21,50209;9150;9151;1009151;,,535.70;536.92;544.92;555.20;
4,50208,1009151,50208,1009151,525.58,556,1800,0,30,32,50208;8331;8332;9151;1009151;,,525.50;526.78;532.78;545.78;556.00;
5,1007290,52401,1007290,52401,439.86,487.3,1800,0,47,49,1007290;7290;7358;52401;,,439.80;441.06;477.06;487.30;
6,1028038,50103,1028038,50103,458.37,508.2,1800,0,50,52,1028038;28038;27838;50103;,,458.30;459.57;497.97;508.20;
7,50211,1007523,50211,1007523,505.2,561,1800,0,56,58,50211;8320;8345;8319;8346;7523;1007523;,,505.20;506.40;514.80;522.00;536.40;550.80;561.00;
8,1007523,50211,1007523,50211,470.53,526.4,1800,0,56,58,1007523;7523;8346;8319;8345;8320;50211;,,470.50;471.73;486.13;500.53;507.73;516.13;526.40;
9,1026562,1027134,1026562,1027134,517.99,576.2,1800,0,58,60,1026562;26562;26157;27134;1027134;,,517.90;519.19;547.99;565.99;576.20;
10,1027893,50104,1027893,50104,530.67,598.9,1800,0,68,70,1027893;27893;27877;28467;28043;50104;,,530.60;531.87;542.67;564.67;588.67;598.90;
11,52405,1007295,52405,1007295,440.22,511.7,1800,0,71,73,52405;7345;7344;7336;7280;7281;7295;1007295;,,440.20;441.42;457.02;459.42;490.42;492.42;501.42;511.70;
12,1028512,70809,1028512,70809,490.76,567,1800,0,76,78,1028512;28512;29069;29373;29995;29530;70809;,,490.70;491.96;514.76;518.76;544.76;556.76;567.00;
13,52401,1007295,52401,1007295,500.69,578.5,1800,0,78,80,52401;7358;7359;7292;7281;7295;1007295;,,500.60;501.89;505.89;531.89;559.32;568.32;578.50;
14,1009335,52405,1009335,52405,523.33,605.4,1800,0,82,84,1009335;9335;7278;7277;7275;7255;52405;,,523.30;524.53;569.53;579.53;581.93;595.13;605.40;
15,71417,1027134,71417,1027134,439.78,522,1800,0,82,84,71417;27355;26562;26157;27134;1027134;,,439.70;440.98;464.98;493.78;511.78;522.00;
16,52103,1028088,52103,1028088,499.94,583.4,1800,0,83,85,52103;27814;28088;1028088;,,499.90;501.14;573.14;583.40;
17,70923,1028527,70923,1028527,460.57,547.2,1800,0,87,89,70923;28226;28531;28537;28527;1028527;,,460.50;461.77;517.77;524.97;536.97;547.20;
18,52206,1008400,52206,1008400,474.99,562,1800,0,87,89,52206;7854;8238;7769;8037;8539;8400;1008400;,,474.90;476.19;500.19;509.79;529.79;545.79;551.79;562.00;
19,50206,1007520,50206,1007520,445.09,535.3,1800,0,90,92,50206;8174;7973;8677;7520;1007520;,,445.00;446.29;475.09;512.09;525.09;535.30;
20,1027592,50106,1027592,50106,446.77,537.4,1800,0,91,93,1027592;27592;27917;27916;50106;,,446.70;447.97;509.17;527.17;537.40;
21,1008924,52401,1008924,52401,505.62,598,1800,0,92,94,1008924;8924;9375;7280;7291;7355;52401;,,505.60;506.82;517.82;521.82;553.82;587.82;598.00;
22,1027744,70903,1027744,70903,539.24,635.9,1800,0,97,99,1027744;27744;27514;27781;28051;27782;27927;28318;70903;,,539.20;540.44;581.24;590.84;593.24;599.24;618.44;625.64;635.90;
23,1008660,50206,1008660,50206,501.11,601.3,1800,0,100,102,1008660;8660;9102;9197;9366;7972;7976;8174;50206;,,501.10;502.31;517.31;532.31;552.31;556.31;587.51;591.11;601.30;
24,1008924,1008801,1008924,1008801,445.36,546.2,1800,0,101,103,1008924;8924;9375;7338;7337;7336;7344;7345;52405;7360;8801;1008801;,,445.30;446.56;457.56;476.56;488.56;490.96;493.36;508.96;519.16;520.36;535.96;546.20;
25,50210,1009151,50210,1009151,482.04,584.5,1800,0,102,104,50210;8321;8344;8329;8322;8351;8327;8332;9151;1009151;,,482.00;483.24;519.24;539.82;543.24;551.24;558.24;561.24;574.24;584.50;
26,1007991,52206,1007991,52206,446.64,566.4,1800,0,120,122,1007991;7991;9408;9412;7597;7600;7601;7717;7718;8227;52206;,,446.60;447.84;463.84;466.24;474.64;505.84;508.24;519.04;548.18;556.18;566.40;
27,1007746,52304,1007746,52304,442.72,563.7,1800,0,121,123,1007746;7746;8946;7570;8944;8133;7670;7671;52304;,,442.70;443.92;478.72;490.72;495.52;506.32;525.52;553.52;563.70;
28,1008486,1007295,1008486,1007295,436.64,557.9,1800,0,121,123,1008486;8486;9425;7277;7275;7255;52405;7345;7344;7336;7280;7281;7295;1007295;,,436.60;437.84;451.04;460.64;463.04;476.24;486.44;487.64;503.24;505.64;536.64;538.64;547.64;557.90;
29,50104,1029932,50104,1029932,459.98,585.4,1800,0,125,127,50104;139277;28458;29981;28460;28346;28465;28464;149160;149156;149157;29932;1029932;,,459.90;461.18;480.38;495.98;512.78;515.18;529.18;532.18;538.18;554.18;557.18;575.18;585.40;
30,1029556,1027134,1029556,1027134,488.84,618.5,1800,0,130,132,1029556;29556;26299;26171;26533;71417;27355;26562;26157;27134;1027134;,,488.80;490.04;503.24;521.24;526.04;536.24;537.44;561.44;590.24;608.24;618.50;
31,70808,1148796,70808,1148796,489.35,619.2,1800,0,130,132,70808;28509;29618;29032;29070;139021;148796;1148796;,,489.30;490.55;536.55;562.55;582.55;593.35;608.95;619.20;
32,1007525,50211,1007525,50211,527.43,660.9,1800,0,133,135,1007525;7525;8323;8350;9157;7803;9298;9297;9124;9123;8231;50211;,,527.40;528.63;548.63;557.63;565.63;583.63;590.63;593.63;606.63;610.63;650.63;660.90;
33,1008522,50104,1008522,50104,520.16,655.2,1800,0,135,137,1008522;8522;7749;27759;27734;27931;27952;27944;27836;139277;50104;,,520.10;521.36;538.16;550.16;575.36;589.76;595.76;605.36;626.96;644.96;655.20;
34,1029707,71603,1029707,71603,485.85,621.7,1800,0,136,138,1029707;29707;29709;29705;28740;28708;71603;,,485.80;487.05;518.25;531.45;571.45;611.45;621.70;
35,1029707,71603,1029707,71603,456.34,592.2,1800,0,136,138,1029707;29707;29709;29705;28740;28708;71603;,,456.30;457.54;488.74;501.94;541.94;581.94;592.20;
36,70902,1028539,70902,1028539,492.12,630.7,1800,0,139,141,70902;29492;29477;29405;28582;28533;28539;1028539;,,492.10;493.32;513.32;559.32;579.72;604.92;620.52;630.70;
37,1008660,50205,1008660,50205,438.72,578.2,1800,0,139,141,1008660;8660;9102;9197;9366;7595;8188;7590;8683;50205;,,438.70;439.92;454.92;469.92;489.92;501.92;531.92;563.92;567.92;578.20;
38,71603,1029708,71603,1029708,474.38,615,1800,0,141,143,71603;28708;28740;29705;29710;29708;1029708;,,474.30;475.58;515.58;555.58;569.98;604.78;615.00;
39,1028504,1029556,1028504,1029556,523.02,665,1800,0,142,144,1028504;28504;70807;1400190;29164;29165;28508;29556;1029556;,,523.00;524.22;534.42;535.62;581.62;584.02;591.22;654.82;665.00;
40,1029556,1026140,1029556,1026140,458.92,601.2,1800,0,142,144,1029556;29556;26299;26171;26533;71417;27355;26562;26364;26140;1026140;,,458.90;460.12;473.32;491.32;496.12;506.32;507.52;531.52;541.52;591.02;601.20;
41,1027441,1027894,1027441,1027894,505.4,647.8,1800,0,142,144,1027441;27441;27833;27984;27841;27843;27849;27848;27880;27894;1027894;,,505.40;506.60;543.60;557.60;572.60;581.60;613.60;624.60;635.60;637.60;647.80;
42,50205,1007520,50205,1007520,523.87,669.3,1800,0,145,147,50205;8683;7590;8188;7595;9366;7972;7973;8677;7520;1007520;,,523.80;525.07;529.07;561.07;591.07;603.07;607.07;609.07;646.07;659.07;669.30;
43,50104,1028038,50104,1028038,508.44,658.5,1800,0,150,152,50104;27945;27929;27946;27947;27948;27942;28275;27941;27940;50103;27838;28038;1028038;,,508.40;509.64;519.24;521.64;532.44;540.84;550.44;564.84;570.84;598.44;608.64;609.84;648.24;658.50;
44,1009335,1007295,1009335,1007295,501.47,654.9,1800,0,153,155,1009335;9335;7278;7277;7275;7255;52405;7345;7344;7336;7280;7281;7295;1007295;,,501.40;502.67;547.67;557.67;560.07;573.27;583.47;584.67;600.27;602.67;633.67;635.67;644.67;654.90;
45,50106,1027938,50106,1027938,499,654.8,1800,0,156,158,50106;27916;27917;27913;27883;27884;27856;27887;27845;27852;27853;27900;27938;1027938;,,499.00;500.20;518.20;530.20;537.40;550.60;560.60;566.60;576.35;601.10;609.35;614.60;644.60;654.80;
46,52405,1006463,52405,1006463,459.15,617.4,1800,0,158,160,52405;7255;8616;8840;8493;7279;7331;7254;7328;7282;6463;1006463;,,459.10;460.35;473.55;489.15;493.15;497.15;504.35;530.75;537.95;547.95;607.20;617.40;
47,1027744,70923,1027744,70923,527.7,689.9,1800,0,162,164,1027744;27744;27514;28017;27512;27546;28056;27778;27547;70923;,,527.60;528.90;569.70;579.70;587.70;633.70;647.70;663.70;679.70;689.90;
48,1009375,1008487,1009375,1008487,446.68,621.3,1800,0,175,177,1009375;9375;7338;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,446.60;447.88;466.88;478.88;507.88;525.88;531.88;537.88;543.88;551.08;577.48;584.68;588.28;596.68;611.08;621.30;
49,1027937,1027591,1027937,1027591,472.46,650.1,1800,0,178,180,1027937;27937;27867;27909;27908;27911;27910;27832;27899;27590;27589;27591;1027591;,,472.40;473.66;509.66;519.41;524.66;531.41;537.41;557.66;589.91;595.91;603.91;639.91;650.10;
50,71601,1029708,71601,1029708,539.39,718.4,1800,0,179,181,71601;29697;29696;29178;29701;29115;29114;29116;29705;29710;29708;1029708;,,539.30;540.59;556.59;580.59;602.59;616.59;620.59;636.19;658.99;673.39;708.19;718.40;
51,1008924,1008487,1008924,1008487,514.73,700.4,1800,0,186,188,1008924;8924;9375;7338;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,514.70;515.93;526.93;545.93;557.93;586.93;604.93;610.93;616.93;622.93;630.13;656.53;663.73;667.33;675.73;690.13;700.40;
52,1029915,1027938,1029915,1027938,441.7,633.1,1800,0,191,193,1029915;29915;27641;27912;27856;27887;27845;27852;27853;27900;27938;1027938;,,441.70;442.90;503.65;519.40;538.90;544.90;554.65;579.40;587.65;592.90;622.90;633.10;
53,52405,1009330,52405,1009330,497.08,692.3,1800,0,195,197,52405;7255;8616;8840;7392;7388;8494;7396;7257;7267;7265;7263;7284;7286;9330;1009330;,,497.00;498.28;511.48;527.08;536.68;539.08;545.08;549.88;561.88;573.88;593.08;601.08;610.08;634.08;682.08;692.30;
54,1027937,1027663,1027937,1027663,479.81,676.5,1800,0,197,199,1027937;27937;27867;27909;27908;27911;27910;27832;27899;27590;27663;1027663;,,479.80;481.01;517.01;526.76;532.01;538.76;544.76;565.01;597.26;603.26;666.26;676.50;
55,52304,1008487,52304,1008487,466.85,664.5,1800,0,198,200,52304;7686;7847;8137;7846;8717;7339;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,466.80;468.05;477.65;488.45;496.85;516.05;519.65;522.05;551.05;569.05;575.05;581.05;587.05;594.25;620.65;627.85;631.45;639.85;654.25;664.50;
56,1007810,1007497,1007810,1007497,504.89,703.8,1800,0,199,201,1007810;7810;8290;7780;8959;8958;7922;139265;7979;7996;7977;7823;7804;7701;8347;7497;1007497;,,504.80;506.10;542.09;553.34;554.84;556.34;564.59;566.09;572.09;587.84;602.09;617.09;637.34;651.59;659.09;693.59;703.80;
57,1027592,1027938,1027592,1027938,495.55,694.6,1800,0,199,201,1027592;27592;27917;27913;27883;27884;27856;27887;27845;27852;27853;27900;27938;1027938;,,495.50;496.75;557.95;569.95;577.15;590.35;600.35;606.35;616.10;640.85;649.10;654.35;684.35;694.60;
58,50105,1030141,50105,1030141,523.14,730.6,1800,0,207,209,50105;27802;28440;27957;27896;27876;27851;27850;27844;27842;27846;27834;30141;1030141;,,523.10;524.34;554.34;558.34;576.34;592.34;600.34;609.34;644.34;653.34;669.34;683.34;720.34;730.60;
59,1007810,1009134,1007810,1009134,512.85,734.9,1800,0,222,224,1007810;7810;8290;7780;8959;8958;7922;139265;7979;7996;7977;7823;7804;7701;8347;8348;8338;8476;7514;9134;1009134;,,512.80;514.05;550.05;561.30;562.80;564.30;572.55;574.05;580.05;595.80;610.05;625.05;645.30;659.55;667.05;679.05;681.45;693.45;716.25;724.65;734.90;
60,1008610,50210,1008610,50210,510.05,732.4,1800,0,222,224,1008610;8610;7711;7712;7770;139270;7855;7833;7812;7859;7621;7684;7869;7948;8051;50210;,,510.00;511.25;518.25;528.25;558.25;563.39;590.99;601.79;610.19;619.79;624.59;632.99;652.19;660.19;722.19;732.40;
61,1008610,50210,1008610,50210,529.55,751.9,1800,0,222,224,1008610;8610;7711;7712;7770;139270;7855;7833;7812;7859;7621;7684;7869;7948;8051;50210;,,529.50;530.75;537.75;547.75;577.75;582.89;610.49;621.29;629.69;639.29;644.09;652.49;671.69;679.69;741.69;751.90;
62,1028960,1148795,1028960,1148795,522.11,746.3,1800,0,224,226,1028960;28960;28890;28840;29976;29142;29127;29131;148795;1148795;,,522.10;523.31;555.71;560.51;588.11;596.11;629.11;703.11;736.11;746.30;
63,1029915,1027443,1029915,1027443,470.31,694.9,1800,0,225,227,1029915;29915;27641;27912;27856;27887;27845;27852;27853;27900;27901;28441;28208;27443;1027443;,,470.30;471.51;532.26;548.01;567.51;573.51;583.26;608.01;616.26;621.51;629.51;648.71;663.11;684.71;694.90;
64,1009331,1008487,1009331,1008487,523.48,749.7,1800,0,226,228,1009331;9331;9329;7262;7287;7288;7264;7365;7330;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,523.40;524.68;572.68;590.68;597.43;607.43;614.63;642.23;650.63;666.23;672.23;679.43;705.83;713.03;716.63;725.03;739.43;749.70;
65,1008924,1006463,1008924,1006463,505.58,734.1,1800,0,229,231,1008924;8924;9375;7338;7337;7296;7388;8494;7387;7279;7331;7254;7328;7282;6463;1006463;,,505.50;506.78;517.78;536.78;548.78;577.78;595.78;601.78;607.78;613.78;620.98;647.38;654.58;664.58;723.83;734.10;
66,1007810,50205,1007810,50205,477.29,706.1,1800,0,229,231,1007810;7810;8290;7780;8959;8958;7922;139265;7979;7996;7977;7823;7804;7701;8347;8348;8338;8337;50205;,,477.20;478.49;514.49;525.74;527.24;528.74;536.99;538.49;544.49;560.24;574.49;589.49;609.74;623.99;631.49;643.49;645.89;695.89;706.10;
67,1009375,1007346,1009375,1007346,520.01,749.8,1800,0,230,232,1009375;9375;7338;7337;7296;7388;8494;7396;7257;7267;7265;7266;7285;7260;7386;7346;1007346;,,520.00;521.21;540.21;552.21;581.21;599.21;605.21;610.01;622.01;634.01;653.21;658.01;680.81;692.81;726.41;739.61;749.80;
68,1028097,1030141,1028097,1030141,506.58,740,1800,0,233,235,1028097;28097;28439;27957;27896;27876;27851;27850;27844;27842;27846;27834;30141;1030141;,,506.50;507.78;544.78;567.78;585.78;601.78;609.78;618.78;653.78;662.78;678.78;692.78;729.78;740.00;
69,1027441,1029932,1027441,1029932,489.61,725,1800,0,235,237,1027441;27441;27833;27984;27841;27843;27849;27848;27880;27894;28271;28347;28346;28465;28464;149160;149156;149157;29932;1029932;,,489.60;490.81;527.81;541.81;556.81;565.81;597.81;608.81;619.81;621.81;625.81;652.81;654.81;668.81;671.81;677.81;693.81;696.81;714.81;725.00;
70,52303,1009330,52303,1009330,498.17,737.8,1800,0,240,242,52303;136997;137002;136994;136993;136996;136995;137005;7267;7265;7263;7284;7286;9330;1009330;,,498.10;499.37;515.37;555.37;579.37;593.37;603.37;615.37;619.37;638.57;646.57;655.57;679.57;727.57;737.80;
71,1008924,52303,1008924,52303,513.58,753.6,1800,0,240,242,1008924;8924;9375;7338;7337;7296;7388;8494;7396;7257;7267;7265;7266;7285;7260;137004;137001;137000;136999;52303;,,513.50;514.78;525.78;544.78;556.78;585.78;603.78;609.78;614.58;626.58;638.58;657.78;662.58;685.38;697.38;701.38;719.38;735.38;743.38;753.60;
72,1007269,1007295,1007269,1007295,462.9,703.7,1800,0,241,243,1007269;7269;7259;7261;7288;7264;7365;7330;7387;7392;7362;7343;7336;7280;7281;7295;1007295;,,462.80;464.10;510.90;514.50;538.50;545.70;573.30;581.70;597.30;604.50;622.50;633.50;651.50;682.50;684.50;693.50;703.70;
73,1008924,1007346,1008924,1007346,437.53,678.4,1800,0,241,243,1008924;8924;9375;7338;7337;7296;7388;8494;7396;7257;7267;7265;7266;7285;7260;7386;7346;1007346;,,437.50;438.73;449.73;468.73;480.73;509.73;527.73;533.73;538.53;550.53;562.53;581.73;586.53;609.33;621.33;654.93;668.13;678.40;
74,1007269,1007295,1007269,1007295,496.63,737.5,1800,0,241,243,1007269;7269;7259;7261;7288;7264;7365;7330;7387;7392;7362;7343;7336;7280;7281;7295;1007295;,,496.60;497.83;544.63;548.23;572.23;579.43;607.03;615.43;631.03;638.23;656.23;667.23;685.23;716.23;718.23;727.23;737.50;
75,1027438,1027663,1027438,1027663,530.35,771.4,1800,0,241,243,1027438;27438;28446;27875;27874;27867;27909;27908;27911;27910;27832;27899;27590;27663;1027663;,,530.30;531.55;545.95;568.75;593.95;611.95;621.70;626.95;633.70;639.70;659.95;692.20;698.20;761.20;771.40;
76,1007525,1008400,1007525,1008400,524.93,768.4,1800,0,243,245,1007525;7525;8323;8350;9157;7803;9298;9297;9124;8014;7769;8037;8539;8400;1008400;,,524.90;526.13;546.13;555.13;563.13;581.13;588.13;591.13;604.13;645.13;716.13;736.13;752.13;758.13;768.40;
77,1029360,1028903,1029360,1028903,465.42,709.6,1800,0,244,246,1029360;29360;29132;29139;29422;29140;28887;28903;1028903;,,465.40;466.62;494.62;575.62;597.37;617.62;639.37;699.37;709.60;
78,1028477,1028527,1028477,1028527,503.47,749.9,1800,0,246,248,1028477;28477;148756;28583;148759;28590;28575;28558;28586;28560;28587;28594;28538;28536;28537;28527;1028527;,,503.40;504.67;547.67;549.67;551.67;568.67;579.67;596.67;604.67;612.67;619.67;634.67;703.67;717.67;727.67;739.67;749.90;
79,1009331,1007295,1009331,1007295,448.95,698.1,1800,0,249,251,1009331;9331;9329;7262;7287;7288;7264;7365;7330;7387;7392;7362;7343;7336;7280;7281;7295;1007295;,,448.90;450.15;498.15;516.15;522.90;532.90;540.10;567.70;576.10;591.70;598.90;616.90;627.90;645.90;676.90;678.90;687.90;698.10;
80,1008610,50211,1008610,50211,476.56,732.1,1800,0,256,258,1008610;8610;7711;7712;7770;139270;7855;7833;7812;7859;7621;7666;7680;7679;7654;7678;8293;8228;7792;9145;9144;8295;9146;8230;7606;50211;,,476.50;477.76;484.76;494.76;524.76;529.90;557.50;568.30;576.70;586.30;591.10;595.90;599.50;609.10;613.90;622.30;630.70;639.10;652.30;658.30;663.10;676.30;678.70;688.30;721.90;732.10;
81,1028539,1029341,1028539,1029341,534.94,797.6,1800,0,263,265,1028539;28539;28533;28582;29405;28596;28572;28597;28561;28588;28559;28589;28577;28593;28601;148758;28570;148757;28479;29341;1029341;,,534.90;536.14;551.74;576.94;597.34;618.94;633.34;643.34;672.34;680.34;688.34;696.34;705.34;712.34;726.34;740.34;742.34;744.34;768.34;787.34;797.60;
82,50106,1027591,50106,1027591,512.9,777.5,1800,0,265,267,50106;27916;27917;27913;27883;27884;27885;27820;27881;27882;27898;27915;27936;27589;27591;1027591;,,512.80;514.10;532.10;544.10;551.30;564.50;580.10;622.10;635.30;674.90;702.50;707.30;713.30;731.30;767.30;777.50;
83,1009331,52303,1009331,52303,474.45,740.6,1800,0,266,268,1009331;9331;9329;7262;7287;7288;7264;7365;7330;7257;7267;7265;7266;7285;7260;137004;137001;137000;136999;52303;,,474.40;475.65;523.65;541.65;548.40;558.40;565.60;593.20;601.60;613.60;625.60;644.80;649.60;672.40;684.40;688.40;706.40;722.40;730.40;740.60;
84,1009331,1006463,1009331,1006463,447.88,716.9,1800,0,269,271,1009331;9331;9329;7262;7287;7288;7264;7365;7330;7387;7279;7331;7254;7328;7282;6463;1006463;,,447.80;449.08;497.08;515.08;521.83;531.83;539.03;566.63;575.03;590.63;596.63;603.83;630.23;637.43;647.43;706.68;716.90;
85,70903,1029341,70903,1029341,527.64,798.1,1800,0,270,272,70903;27992;27928;28600;29218;28557;28578;28556;28553;28554;28592;28576;28608;28601;148758;28570;148757;28479;29341;1029341;,,527.60;528.84;561.24;590.04;599.64;605.64;642.84;656.04;663.24;689.64;701.64;704.04;720.84;726.84;740.84;742.84;744.84;768.84;787.84;798.10;
86,50207,1009151,50207,1009151,490.78,762.6,1800,0,272,274,50207;8611;7869;7948;8051;50210;8321;8344;8329;8322;8351;8327;8332;9151;1009151;,,490.70;491.98;579.98;587.98;649.98;660.18;661.38;697.38;717.95;721.38;729.38;736.38;739.38;752.38;762.60;
87,71602,1028903,71602,1028903,517.26,793.6,1800,0,276,278,71602;29085;29033;29111;29095;29155;29156;30238;30237;29423;1400191;30171;29141;29140;28887;28903;1028903;,,517.20;518.46;540.46;576.46;598.46;606.86;622.86;644.46;651.66;669.66;673.26;685.26;693.66;701.66;723.41;783.41;793.60;
88,1007525,50207,1007525,50207,458.82,740.1,1800,0,281,283,1007525;7525;8323;8350;9157;8322;8329;8344;8321;50210;8051;7948;7869;8611;50207;,,458.80;460.02;480.02;489.02;497.02;500.45;503.87;524.45;560.45;570.65;571.85;633.85;641.85;729.85;740.10;
89,1028858,1029341,1028858,1029341,445.63,729.1,1800,0,283,285,1028858;28858;28534;28598;28597;28561;28588;28559;28589;28577;28593;28601;148758;28570;148757;28479;29341;1029341;,,445.60;446.83;509.83;541.83;574.83;603.83;611.83;619.83;627.83;636.83;643.83;657.83;671.83;673.83;675.83;699.83;718.83;729.10;
90,1028477,1029467,1028477,1029467,510.41,794.8,1800,0,284,286,1028477;28477;148756;28583;148759;28590;28575;28558;28586;28560;28587;28594;28538;28536;29467;1029467;,,510.40;511.61;554.61;556.61;558.61;575.61;586.61;603.61;611.61;619.61;626.61;641.61;710.61;724.61;784.61;794.80;
91,1007991,1007497,1007991,1007497,531.53,825.5,1800,0,294,296,1007991;7991;9408;9407;9411;7592;7591;52204;7589;8223;7588;7849;7994;139264;139262;139266;139265;7979;7996;7977;7823;7804;7701;8347;7497;1007497;,,531.50;532.73;548.73;551.13;553.53;566.73;570.33;580.53;581.73;597.33;602.13;636.93;641.73;646.53;658.53;683.73;687.73;693.73;709.48;723.73;738.73;758.98;773.23;780.73;815.23;825.50;
92,1009331,52401,1009331,52401,446.74,750.9,1800,0,304,306,1009331;9331;9329;7262;7287;7288;7264;7365;7330;7387;7392;7362;7343;7336;7280;7291;7355;52401;,,446.70;447.94;495.94;513.94;520.69;530.69;537.89;565.49;573.89;589.49;596.69;614.69;625.69;643.69;674.69;706.69;740.69;750.90;
93,52301,1006463,52301,1006463,496.96,808.3,1800,0,311,313,52301;8125;7695;7637;7699;7698;7799;7800;7575;7766;8499;7664;7282;6463;1006463;,,496.90;498.16;504.16;530.16;537.36;551.36;565.61;568.61;598.61;604.61;647.36;670.61;738.86;798.11;808.30;
94,1027937,70903,1027937,70903,480.66,792.5,1800,0,312,314,1027937;27937;27867;27909;27908;27911;27812;27866;27996;27864;27861;27862;27839;28600;27928;27992;70903;,,480.60;481.86;517.86;527.61;532.86;539.61;579.61;611.61;621.61;641.61;655.11;673.11;691.11;721.11;749.91;782.31;792.50;
95,1007496,52306,1007496,52306,488.51,802,1800,0,313,315,1007496;7496;8333;7805;7700;7928;8113;8114;7636;7694;7585;8204;7925;7849;7994;139264;139262;139261;52306;,,488.50;489.71;525.71;545.96;566.21;582.71;602.21;606.21;632.21;649.01;656.21;676.61;680.21;766.21;771.01;775.81;787.81;791.81;802.00;
96,1026373,70808,1026373,70808,503.9,822.7,1800,0,319,321,1026373;26373;26521;26142;28506;29316;28500;70807;28504;28496;29258;28495;29235;70808;,,503.80;505.10;553.85;602.60;649.10;659.10;695.10;705.30;706.50;746.50;778.50;784.50;812.50;822.70;
97,1007810,52302,1007810,52302,466.78,800.2,1800,0,333,335,1007810;7810;8290;7780;8959;8958;7922;139265;7979;7996;7977;7978;7638;7584;7637;7699;7960;7959;7967;7801;7630;8707;7569;8115;8116;52302;,,466.70;467.98;503.98;515.23;516.73;518.23;526.48;527.98;533.98;549.73;563.98;567.98;595.98;615.18;621.18;628.38;653.58;655.98;667.98;675.18;703.98;727.98;765.98;769.98;789.98;800.20;
